Location,Size_sqft,Num_Rooms,Property_Age_yrs,Amenities,Price_in_Lakhs
Kolkata,1677,3,11,Luxury,24460.71
Hyderabad,3650,4,11,Luxury,57579.8
Chennai,3091,4,18,Luxury,59239.29
Kolkata,3260,1,29,Basic,25657.38
Bangalore,3640,3,5,Standard,48743.64
Chennai,2911,3,1,Luxury,55596.45
Chennai,3724,3,11,Basic,35675.88
Kolkata,2195,5,18,Luxury,33352.71
Pune,3651,2,4,Premium,49669.96
Bangalore,604,5,11,Standard,8117.9
Kolkata,1726,2,26,Standard,15577.1
Bangalore,1819,3,26,Basic,19970.7
Bangalore,1373,3,16,Basic,14724.02
Chennai,1476,5,28,Standard,16682.06
Hyderabad,1591,5,16,Luxury,24611.52
Bangalore,3531,2,9,Luxury,77632.33
Delhi,646,4,24,Premium,12098.7
Chennai,3514,2,22,Luxury,66207.21
Pune,3470,5,16,Basic,31321.95
Hyderabad,3583,5,14,Basic,29363.0
Delhi,3303,1,11,Luxury,86333.66
Delhi,868,5,29,Basic,10494.25
Pune,969,1,15,Standard,9964.89
Hyderabad,1235,4,23,Standard,12322.89
Chennai,1729,2,18,Luxury,32354.76
Mumbai,2293,2,7,Standard,41162.18
Hyderabad,2282,1,20,Standard,22174.23
Pune,1256,2,16,Premium,16467.83
Delhi,719,5,22,Premium,14072.19
Chennai,1430,3,4,Standard,15638.99
Hyderabad,2410,1,21,Luxury,38250.82
Mumbai,1681,2,15,Premium,37978.89
Mumbai,2574,1,5,Basic,37813.0
Bangalore,1969,1,7,Basic,21877.74
Bangalore,1340,3,24,Basic,14724.18
Kolkata,716,5,17,Luxury,11017.74
Pune,2453,1,24,Standard,26594.36
Hyderabad,3438,2,11,Basic,28184.57
Hyderabad,1750,4,14,Luxury,28063.61
Kolkata,2531,1,26,Premium,28248.05
Delhi,1612,1,25,Standard,25197.85
Delhi,2264,3,8,Premium,44421.65
Kolkata,1681,5,12,Luxury,25243.43
Delhi,1233,4,25,Basic,16044.8
Bangalore,1112,2,14,Basic,11878.0
Hyderabad,3449,4,9,Luxury,54856.05
Kolkata,1719,2,15,Basic,12187.7
Hyderabad,1741,5,6,Standard,17595.39
Mumbai,1159,2,16,Luxury,34144.07
Bangalore,1087,3,22,Premium,17584.05
